College Name,Subject,Topics Covered
BMS College of Engineering,Data Exploration and Visualization,"Steps in EDA, Data Types, Numerical Data, Discrete data, continuous data, Categorical data, Measurement Scales, Nominal, Ordinal, Interval, Comparing EDA with classical and Bayesian Analysis, Software tools for EDA, Transformation Techniques, Performing data deduplication, replacing values, Discretization and binning Introduction to Missing data, handling missing data, Traditional methods, Maximum Likelihood Estimation, Descriptive Statistics, Understanding statistics, Measures of central tendency, Measures of dispersion, Grouping Datasets Understanding groupby, Groupby mechanics, Data aggregation, Pivot tables and cross, tabulations, Correlation, Introducing correlation, Types of analysis, Understanding, Correlation does not imply causation Types of analysis, Univariate analysis, bivariate analysis, multivariate analysis Time Series Analysis TSA, Fundamentals of TSA, characteristics of TSA, Time based indexing, visualizing time series, grouping time series data, resampling time series data"
BMS College of Engineering,Artificial Intelligence,"Visualizing Data, Mapping Data onto Aesthetics Data, Scales, Coordinate Systems and Axes, Directory of Visualizations, Visualizing Amounts, Visualizing Distributions, Histograms and Density Plots, Empirical Cumulative Distribution Functions and Q, Q Plots, Visualizing Many Distributions at Once, Visualizing Associations Among Two or More Quantitative Variables, Visualizing Uncertainty, Visualizing proportions, Getting Started with Pandas, Arrays and vectorised computation, Essential Functionality, Summarizing and Computing Descriptive Statistics Data Loading, Storage and File Formats Reading and Writing Data in Text Format, Web Scraping, Binary Data Formats, Interacting with Web APIs, Interacting with Databases, Data Cleaning and Preparation Handling Missing Data, Data Transformation, String Manipulation Data Wrangling, Hierarchical Indexing, Combining and Merging Data Sets Reshaping and Pivoting, Definition, Agents, Agents and environment, Concept of Rationality, The nature of environment, The structure of agents Problemsolving, Problem solving agents, Example problems, Searching for Solutions, Uninformed Search Strategies, Breadth First search, Depth First Search, Iterative deepening depth first search, Hill Climbing, Simulated annealing and Monotonicity, Informed Search Strategies, Heuristic functions, Greedy best first search, A search Heuristic Functions"
BMS College of Engineering,Computer Networks,"Logical Agents, Knowledge, based agents, The Wumpus world, Propositional logic, First Order Logic, Representation Revisited, Syntax and Semantics of First Order logic, Using First Order logic, Inference in First Order Logic, Propositional Versus First Order Inference, Unification, Forward Chaining, Backward Chaining, Resolution Adversarial Search and Games, Game playing, Classification of games, Optimal Decisions in Games, Prisoner s Dilemma, Game playing techniques, minimax search, beta Tree search, Complexity of alphabeta search, Monte carlo Tree Search, Stochastic Games, Partially Observable Games, Limitations of Game Search Algorithm, Uncertain Knowledge and Reasoning, Quantifying Uncertainty, Acting under Uncertainty, Basic Probability Notation, Inference using Full Joint Distributions, Independence, Baye s Rule and its use Probabilistic Reasoning, Representing Knowledge in an Uncertain Domain, Semantics of Bayesian Networks, Data Communications, Networks, Network Types, Network Models, Protocol Layering, TCP IP Protocol Suite, OSI Model Application Layer, Standard Client Server Protocols, World Wide Web and HTTP, Domain Name System DNS, Network Management"
BMS College of Engineering,Robot Process Automation Design and Development,"Transport Layer, Transport Layer Protocols, User Datagram Protocol, Transmission Control Protocol, Network Layer, Network Layer Services, Packet Switching, Network Layer Performance, IPV4 Addresses Address Space, Classful Addressing, Classless Addressing Network Layer Protocols, Internet Protocol, Unicast Routing, Routing algorithms, Internet Structure, Routing Information Protocol RIP, Next Generation IP, IPV6 Addressing, IPV6 Protocol, Transition from IPV4 to IPV6, Data Link Layer, Link Layer Addressing, Error Detection and Correction, Block Coding, Cyclic Codes Cyclic Redundancy Check, Polynomials, Cyclic Code Encoder Using Polynomials, Checksum Data Link Control, DLC Services, Link Layer Protocols, Media Access Control Random access, controlled access, Physical Layer, Data and signals Digital Transmission, Line coding Unipolar, bipolar, Switching, Circuit Switched Networks"
BMS College of Engineering,Compiler Design,"Managing and Maintaining the Code, Project Organization, Nesting workflows, Reusability of workflows, commenting techniques, State Machine, when to use Flowcharts, State Machines or sequences, Publishing using publish utility, Using Orchestration Server to control bots, Using Orchestration Server to deploy bots, Lexical Analysis, Language processors, The Structure of Compilers, Lexical analysis, The Role of Lexical Analyzer, Input Buffering, Specifications of Tokens, recognition of Tokens, Syntax Analysis, Parsing, down Parsing, Bottom, up Parsing, Simple LR parser, More Powerful LR Parsers, Syntax, Directed Definitions, Evaluation order for SDDs, Applications of Syntax, directed translation, directed translation schemes, Intermediate Code Generation, Variants of syntax trees, address code, Types and declarations, Translation of expressions, Control flow, Switch statements, Time Environments, Storage Organization, Stack Allocation of Space Code Generation, Issues in the design of Code Generator, The Target language, Addresses in the target code, Basic blocks and Flow graphs, Optimization of basic blocks, A Simple Code Generator"
BMS College of Engineering,Computer Graphics,"Computer Graphics Hardware, Video Display Devices, Raster, Scan Systems, Graphics Networks, Graphics on the Internet Computer Graphics Software, Coordinate Representations, Graphics Functions, Software Standards, Other Graphics Packages, Coordinate Reference Frames, Specifying a Two, Dimensional World, Coordinate Reference Frame in OpenGL, OpenGL Point Functions, OpenGL Line Functions, OpenGL Curve Functions, Area Primitives, Polygon Fill Areas, OpenGL Polygon Fill, Area Functions, OpenGL Vertex Arrays, Array Primitives, OpenGL Pixel, Array Functions, Character Primitives, OpenGL Character Functions, Picture Partitioning, OpenGL Display Lists, OpenGL Display, Window Reshape Function Attributes of Graphics Primitives, OpenGL State Variables, OpenGL Color Functions, OpenGL Point, Attribute Functions, OpenGL Line, Curve Attributes, OpenGL Fill, Area Attribute Functions"
BMS College of Engineering,"Product, Services and IT Service","Implementation Algorithms for Graphics Primitives and Attributes, LineDrawing Algorithms, Parallel Line Algorithms, Setting Frame, Buffer Values, Circle, Generating Algorithms Two, Dimensional Geometric Transformations, Basic Two, Matrix Representations and Homogeneous Coordinates, Inverse Transformations, Dimensional Composite Transformations, Other Two, Dimensional Transformations, Raster Methods for Geometric Transformations, Dimensional Viewing, The Two, Dimensional Viewing Pipeline, The Clipping Window, Normalization and Viewport transformations, OpenGL Two, Dimensional Viewing Functions, Clipping Algorithms, Dimensional Point Clipping, dimensional Line Clipping CohenSutherland Line Clipping and Liang, Barsky Line Clipping, Polygon Fill, Area Clipping Sutherland, Hodgman Polygon Clipping, Dimensional Viewing Concepts, The Three, Coordinate Parameters, Transformation from World to Viewing Coordinates, Projection Transformations, Orthogonal Projections, Perspective Projections, The Viewport Transformation and ThreeDimensional Screen Coordinates, OpenGL Three, Dimensional Clipping Algorithms, OpenGL Optional Clipping Planes"
BMS College of Engineering,Cloud Computing,"Use of technology to manage services, How technology enables management of services, tools for IT service management, IT operations management event monitoring and integration, Toil reduction using automation, Artificial Intelligence infused IT service operations, Defining Cloud Computing, Cloud Types, The NIST model, Deployment models, Service models, Characteristics of Cloud Computing, Benefits of cloud computing, Disadvantages of cloud computing, Understanding Abstraction and Virtualization, Using Virtualization Technologies, Load Balancing and Virtualization, Understanding Hypervisors, VMware vSphere, Understanding Machine Imaging, Capacity Planning, Defining Baseline and Metrics, Baseline measurements, Web Services, Understanding Amazon Web Services, Amazon Web Service Components and Services, Working with the Elastic Compute Cloud EC2, Working with Amazon Storage Systems, Defining Services Salesforce com versus Force com, SaaS versus PaaS Application development"
BMS College of Engineering,Big Data Analytics,"Understanding Cloud Security, Applications in the Clouds, Functionality mapping, Application attributes, Cloud service attributes, System abstraction, Cloud bursting, Applications and Cloud API, Kubernetes, Understanding Kubernetes architecture, Kubernetes Concepts, Kubernetes architecture, The Kubernetes APIs Microservices, The Truth About Monoliths, What Are Microservices and How Do They Relate to Event, Driven, Microservice, and Event, Driven Architectures, Moving from a Monolith to an Event, Driven Architecture, Types of Digital Data, Definition of Big data and Analytics, Characteristics of Big Data, Domain Specific Examples of Big Data, Analytics Flow for Big Data, Big Data Stack, Mapping Analytics Flow to Big Data Stack, Weather Data Analysis, CAP theorem, Types of NoSQL databases, MongoDB, Terms used in RDBMS and MongoDB, MongoDB Query Language, CRUD Create, Update and Delete operations, Finding documents based on search criteria"
BMS College of Engineering,Machine,"Cassandra, Features of Cassandra, Keyspaces, Collection, Counters, Time to Live TTL operations, Practice Examples Hadoop, Introducing Hadoop, RDBMS verses Hadoop, Distributed Computing Challenges, Hadoop Overview, Big Data Storge, Batch Analysis, Hadoop and MapReduce, Wordcount Demonstration, Hadoop, MapReduce Examples, The Basics, Control Structures and functions, Working with arrays, Maps and Tuples Introduction to Data Analysis with Spark, A unified Spark, Users of Spark, Storage layers for Spark Programming with RDDs, RDD Basics, Creating RDDs, RDD Operations, Passing functions to Spark, Common Transformations and Actions, Persistence Spark SQL, Linking with Spark SQL, Using Spark SQL in Applications, Loading and Saving Data, JDBC ODBC Server, defined functions, Spark SQL Performance, Machine learning Landscape, Purpose of Machine Learning, examples of applications, Types of ML, main challenges of ML, Testing Validating End to end Machine learning Project, Working with real data, look at the big picture, Get the data, Discover, and visualize the data, Prepare the data, select, and train the model, Fine tune your model"
