College Name,Subject,Topics Covered
NIT TIRUCHIRAPPALLI,AUGMENTED AND VIRTUAL REALITY,"Virtual Reality, Primary, Input, Tracker, Sensor, Digital Glove, Movement Capture, Video-Based Input, Output, Computer Graphics, Software And Hardware, Real Time Rendering"
NIT TIRUCHIRAPPALLI,DIGITAL SIGNAL PROCESSING,"Signals And Systems, Sampling Theorem, Discrete-Time, Signals, Systems, Z Transform, Convolution, Correlation, Frequency Transformations, Properties Of Dft, Circular Convolution, Algorithms"
NIT TIRUCHIRAPPALLI,GAME THEORY,"Game, Games And Solutions, Examples From Networks, Strategic Form Games, Iterated Strict Dominance, Rationalizability, Nash Equilibrium, Existence, Uniqueness, Super Modular Games, Potential/Congestion Games, Extensive-Form Games"
NIT TIRUCHIRAPPALLI,REAL TIME SYSTEMS,"Real-Time Systems, Real Time Computing, System, Design Challenges, Performance Metrics, Source, Analysis, Micro–Architecture Level Analysis, Real Time Os, Threads And Tasks, Structure Of Microkernel, Time Services"
NIT TIRUCHIRAPPALLI,SOFTWARE TESTING AND AUTOMATION,"Testing Maturity Model, Testing Axioms, Basic, Definitions, Software Testing, Origins, F Defects, Cost Of Defects, Defect Classes, Defect Examples, Boundary Value Analysis, Equivalence Class Partitioning"
NIT TIRUCHIRAPPALLI,CLOUD COMPUTING,"Clustering, Grid Computing, Virtualization, Basic, Benefits And Risks, Roles, Boundaries, Basic Deployment Models, Enabling Technologies, Networks, Isps, Connectionless Packet Switching"
NIT TIRUCHIRAPPALLI,AGILE SOFTWARE DEVELOPMENT,"Agile Software Development, Values Of Agile, F Agile, Stakeholders, Challenges Lean Approach, Waste Management, Kaizen And Kanban, Add Process, Products Add Value, Differences, Agile And Scrum, Agile Manifesto"
NIT TIRUCHIRAPPALLI,WEB TECHNOLOGY AND ITS APPLICATIONS,"Html, Html Formatting, Hyper-Links, Lists, Tables, Images, Forms, Frames, Cascading, Style Sheets, Types, Document Type"
NIT TIRUCHIRAPPALLI,ADVANCED DATABASE MANAGEMENT SYSTEMS,"Relational Model Issues, Er Model, Normalization, Query Processing, Query Optimization, Transaction Processing, Concurrency, Control, Recovery, Database Tuning, Distributed Databases, Parallel Databases"
NIT TIRUCHIRAPPALLI,ARTIFICIAL INTELLIGENCE AND ITS APPLICATIONS,"Search Techniques, Knowledge, Logical Agents, Simple Reflex, Agent, Building Knowledge Base, Knowledge Engineering, General Ontology, Representing Categories, Measures, Composite Objects, Resolution"
NIT TIRUCHIRAPPALLI,DATA ANALYTICS,"Data Analytics, Predictive Analytics, Simple Linear Regression, Multiple Linear Regression, Auto Regression, Moving Average, Data Pre-Processing, Data Cleaning, Data Reduction, Descriptive Data, Analytics, Association Rule Mining"
NIT TIRUCHIRAPPALLI,MACHINE LEARNING TECHNIQUES AND PRACTICES,"Mathematical Preliminaries, Vectors, Inner Product, Outer Product, Eigen Analysis, Singular Value Decomposition, Probability Distributions, Conditional Probability Distribution, Joint Probability Distribution, Bayes Theorem, Supervised Learning, Classification"
