College Name,Subject,Topics Covered
Delhi Technological University,Computer Organization and  Architecture,". Introduction, Digital computer generation, computer types and classifications, functional units and their interconnections, bus architecture, types of buses and bus arbitration. Register, bus and memory transfer. REGISTER TRANSFER LANGUAGE, Data movement around registers. Data movement from/to memory, arithmetic and logic micro operations. Concept of bus and timing in register transfer. . Control Unit, Instruction types, formats, instruction cycles and sub- cycles (fetch and execute etc.), micro-operations, execution of a complete instruction. Hardwired and microprogrammed control, microprogrammed sequencing, wide branch addressing, and micro-instruction with next address field, pre-fetching microinstructions, concept of horizontal and vertical microprogramming. . Central Processing Unit, Addition and subtraction of signed numbers look ahead carry adders. Multiplication, Signed operand multiplication, Booths algorithm and array multiplier. Division and logic operations. Floating point arithmetic operation, Processor organization, general register organization, stack organization and addressing modes. . Input/Output organization, Peripheral devices, I/O interface, I/O ports, Interrupts, interrupt hardware, types of interrupts and exceptions. Modes of Data Transfer, Programmed I/O, interrupt initiated I/O and Direct Memory Access. I/O channels and processors. Serial Communication, Synchronous & asynchronous communication, standard communication interfaces. Memory, Basic concept and hierarchy, Main memory, Auxiliary memory, Associative memory, Cache memories, concept and design issues, associative mapping, direct mapping, set-associative mapping, cache writing and initialization."
Delhi Technological University,Algorithm Design and Analysis,". Introduction, Concept of algorithmic efficiency, run time analysis of algorithms, Asymptotic Notations. Growth of Functions, Master’s Theorem, . Searching and Sorting, Structure of divide-and-conquer algorithms, examples, binary search, quick sort, Strassen Matrix Multiplication, merge sort, heap sort and Analysis of divide and conquer run time recurrence relations. . Greedy Method, Overview of the greedy paradigm examples of exact optimization solution, minimum cost spanning tree, approximate solutions, Knapsack problem, Kruskal’s algorithm and Prim’s algorithm for finding Minimum cost Spanning Trees, Dijkstra’s and Bellman Ford Algorithm for finding Single source shortest paths, Huffman coding, Activity Selection Problem. . Dynamic programming, Principles of dynamic programming. Applications, Rod cutting problem, Floyd-Warshall algorithm for all pair shortest paths. Matrix multiplication, Travelling salesman Problem, Longest Common sequence, Back tracking, Overview, -queen problem, and Knapsack problem, Traveling Salesman problem7 . Branch and bound, LC searching Bounding, FIFO branch and bound, LC branch and bound application, / Knapsack problem, . Computational Complexity, Complexity measures, Polynomial Vs non-polynomial time complexity, NP-hard and NP-complete classes, Circuit Satisfiablity, Vertex cover, Subset Sum problem, Randomized Algorithms, String Matching, NP-Hard and NP-Completeness, Approximation Algorithms, Sorting Network, Matrix Operations, Polynomials and FFT, Number Theoretic Algorithms."
Delhi Technological University,Fundamental of Management,". Detail Contents Contact Definition of management, importance of management, management principals, managerial roles, managerial ethos, management vs administration, managerial functions, task and responsibilities, organizational structure, motivation, meaning, theories and techniques. Concept of business environment, corporate social responsibility and corporate governance, managerial values and ethics. Objectives and importance of financial management, basics of capital budgeting, cost of capital, emerging sources of funds for new projects, introduction to stock market. Functions of marketing, marketing Vssales, interface of marketing with other departments, customer life time value, new product development, unethical issues in marketing. Introduction to knowledge management, knowledge society, knowledge economy, building knowledge assets, sources of knowledge, technology innovation process, E-governance, definition, objectives and significance, challenges in Indian context, Digital India programme."
Delhi Technological University,Computer Networks,". Introduction Concepts, Goals and Applications of Networks, Network structure and architecture, The OSI reference model, services, Network Topology Design - Delay Analysis, Physical Layer Transmission Media, Switching methods, ISDN. . Medium Access sub layer, Medium Access sub layer - Channel Allocations, LAN protocols -ALOHA protocols - Overview of IEEE standards - FDDI. Data Link Layer - Elementary Data Link Protocols, Sliding Window protocols, Error Handling. . Network Layer, Network Layer - Point - to Pont Networks, routing, Congestion control, Internetworking -TCP / IP, IP packet, IP address, IPv6. Transport Layer, Transport Layer - Design issues, connection management, session Layer-Design issues, remote procedure call. . Presentation Layer- Data compression techniques, cryptography. . Application Layer, Application Layer, File Transfer, Access and Management, Electronic mail, Virtual Terminals, Internet and Public Networks."
Delhi Technological University,Compiler Design,". Introduction, Definition, Phases and Passes, FSM & RE’s and their application to Lexical Analysis, Implementation of Lexical Analyzers, Lexical- Analyzer Generator, Lex – Compiler. . Syntax Analysis, Formal Grammar and their application to Syntax Analysis, BNF Notation, . The Syntactic specification of Languages, Derivation and Parse Trees, Shift Reduce Parsing, Operator precedence parsing, top down Parsing, Predictive Parsers.LR Parsers, the canonical collection of LR()items, constructing SLR Parsing Tables, Constructing canonical LR Parsing tables and LALR parsing tables, An Automatic Parser Generator, YACC. . Syntax Directed Translation, Syntax directed Translation Schemes, Implementation of Syntax directed translators, Intermediate Code, Postfix notation, Parse Trees and Syntax Trees, Three address Code, Quadruple & Triples, Translation of Assignment Statements, Boolean expressions, Control Statements, Array references in Arithmetic expressions, Procedure Calls, Declarations and Case statements Translations. . Symbol Tables, Data Structure for Symbol Tables, representing scope information. Run Time Administration, Implementation of simple Stack allocation scheme, storage allocation in block structured language. . Error detection and Recovery, Lexical phase errors, syntax phase errors, semantic errors and Error recovery techniques. . Code Optimization, Loop optimization, the DAG representation of basic blocks, value numbers and Algebraic Laws, Global Data – Flow Analysis and Code generation."
Delhi Technological University,Software Engineering,". Introduction, Introduction to software Engineering, Software characteristics, Software components, Software applications, Software Engineering Principles, Software metrics and measurement, monitoring and control. Software development life-cycle, Water fall model, prototyping model, Incremental model, Iterative enhancement Model, Spiral model. . Software Requirement Specification, Requirements Elicitation Techniques, Requirements analysis, Models for Requirements analysis, requirements specification, requirements validation. . System Design, Design Principles, Problem partitioning, abstraction. Top down and bottom up – design, structured approach. Functional versus object oriented approach of design, design specification, Cohesiveness and Coupling. Overview of SA/SD Methodology, structured analysis, data flow diagrams, extending DFD to structure chart. . Software project Management, Project planning and Project scheduling. Software Metrics, Size Metrics like LOC, Token Count, Function Count. Cost estimation using models like COCOMO. Risk management activities. Software Reliability and Quality Assurance, Reliability issues, Reliability metrics, reliability models, Software quality, ISO certification for software industry, SEI capability maturity model. . Testing, Verification and validation, code inspection, test plan, test case specification. Level of testing, Integration Testing, Top down and bottom up integration testing, Alpha and Beta testing, System testing and debugging. functional testing, structural testing, Software testing strategies. . Software Maintenance, Structured Vs unstructured maintenance, Maintenance Models, Configuration Management, Reverse Engineering, Software Re-engineering."
Delhi Technological University,Artificial Intelligence & Expert  Systems,". Introduction, AI Problems, Task Domains of AI, AI Techniques, search knowledge, abstraction. Introduction to Intelligent program and Intelligent agents.Problem Solving, Basic Problem solving Method, state space search, problem characteristics, Production systems characteristics, issues in design of Intelligent search algorithm. . Heuristic search Techniques, Hill climbing techniques, Best First search, A* Search, Problem Reduction, AO* Search, Constraint Satisfaction, Means-End Analysis.Game Playing, Game Tree, Searching procedure Minimax, alpha-beta pruning7 . Knowledge Representation, Knowledge Representation issues. Knowledge Representation using Predicate Logic, Unification, resolution. Rule based Systems, Forward versus backward reasoning, conflict resolution. Structured Knowledge Representation, Semantic Nets, Frames, conceptual dependency, scripts. . Programming Languages, Fundamental and concepts of Programming languages like Prolog or Lisp. Relationship of languages with Knowledge representation and inferences6 . Learning, Handling uncertainty Non-Monotonic Reasoning, Probabilistic reasoning, use of certainty factors, fuzzy logic. Learning Concept of learning, learning automation, genetic algorithm, learning by inductions, neural nets. . Applications, Expert Systems, Architecture, Domain Knowledge, Knowledge Acquisition, Case Studies, MYCIN, Natural language Processing, Syntactic, Semantic and Pragmatic Analysis, Robotics etc."
Delhi Technological University,Data Warehousing and Data Mining,". Data Warehousing, - Basic concepts in data warehousing, Collecting the requirements of data warehouse, Data Warehouse Architecture, Design, Implementation & Maintenance, OLAP in data warehouse, Data warehousing and the web, Data Cube Technology, From Data Warehousing to Data Mining. . Data Mining Concepts, Data mining primitives, Basics of data mining, Query language, Architectures of data mining systems6 . Mining Association Rules in Large Databases, Association Rule Mining, Mining Single Dimensional Boolean Association Rules from Transactional Databases, Mining Multilevel Association Rules from Transaction Databases, Mining Multidimensional Association Rules from Relational Databases and Data Warehouses, From Association Mining to Correlation Analysis, Constraint Based Association Mining. . Classification and Prediction, Issues Regarding Classification and Prediction, Classification by Decision Tree Induction, Bayesian Classification, Classification by Back propagation, Classification Based on Concepts from Association Rule Mining, Other Classification Methods, Prediction, Classifier Accuracy. . Cluster Analysis in Data Mining, Types of Data in Cluster Analysis. A Categorization of Major Clustering Methods, Partitioning Methods, Density Based Methods, Grid Based Methods, Model Based Clustering Methods, Outlier Analysis6 . Mining Complex Types of Data, Multidimensional Analysis and Descriptive Mining of Complex Data Objects, Mining Spatial Databases, Mining Multimedia Databases, Mining Time Series and Sequence Data, Mining Text Databases.Applications and trends in Data Mining, - Applications, Systems products and research prototypes, Additional themes in data mining, Trends in Data mining, spatial mining, and Web Mining. ."
Delhi Technological University,Information and Network Security,". Introduction, Need for security, Introduction to security attacks, services and mechanism, introduction to cryptography, Conventional Encryption, Conventional encryption model, classical encryption techniques- substitution ciphers and transposition ciphers, cryptanalysis, stereography, stream and block ciphers, Intruders, Viruses and related threads. . Modern Block Ciphers, Block ciphers principals, Shannon’s theory of confusion and diffusion, Fiestal structure, data encryption standard(DES), strength of DES, crypt analysis of DES, block cipher modes of operations, triple DES, IDEA encryption and decryption, strength of IDEA, key distribution. . Introduction to graph, ring and field, prime and relative prime numbers, modular arithmetic, Fermat’s and Euler’s theorem, primarily testing, Euclid’s Algorithm, Chinese Remainder theorem, discrete logarithms, Principals of public key crypto systems, RSA algorithm, security of RSA, key management, Diffle-Hellman key exchange algorithm, introductory idea of Elliptic curve cryptography, Elgamal encryption. . Message Authentication and Hash Function, Authentication requirements, authentication functions, message authentication code (MAC), hash functions, security of hash functions and MACS, MD5 message digest algorithm, Secure hash algorithm(SHA), Public Key Infrastructure(PKI), Digital Certificate, private key management, Digital Signatures, authentication protocols, digital signature standards (DSS), proof of digital signature algorithm. . Authentication Applications, Kerberos and X., directory authentication service, password, challenge-response, biometric authentication, electronic mail security-pretty good privacy (PGP), S/MIME. . IP Security, Architecture, Authentication header, Encapsulating security payloads, combining security associations, key management.Web Security, Secure Socket Layer(SSL) and transport layer security, Secure Electronic Transaction (SET), Electronic money, WAP security, firewall design principals, Virtual Private Network (VPN) security."
Delhi Technological University,Big Data Analytics,". INTRODUCTION TO BIG DATA, Introduction to Big Data Platform – Challenges of Conventional Systems - Intelligent data analysis – Nature of Data - Analytic Processes and Tools - Analysis vs Reporting - Modern Data Analytic Tools - Statistical Concepts, Sampling Distributions - Re-Sampling - Statistical Inference - Prediction Error. . MINING DATA STREAMS, Introduction To Streams Concepts – Stream Data Model and Architecture - Stream Computing - Sampling Data in a Stream – Filtering Streams – Counting Distinct Elements in a Stream – Estimating Moments – Counting Oneness in a Window – Decaying Window - Real time Analytics Platform(RTAP) Applications - Case Studies - Real Time Sentiment Analysis, Stock Market Predictions. . HADOOP, History of Hadoop- The Hadoop Distributed File System – Components of Hadoop- Analyzing the Data with Hadoop- Scaling Out- Hadoop Streaming- Design of HDFS-Java interfaces to HDFS- Basics-Developing a Map Reduce Application-How Map Reduce Works-Anatomy of a Map Reduce Job run-Failures-Job Scheduling-Shuffle and Sort – Task execution - Map Reduce Types and Formats- Map Reduce Features10 . HADOOP ENVIRONMENT, Setting up a Hadoop Cluster - Cluster specification - Cluster Setup and Installation - Hadoop Configuration-Security in Hadoop - Administering Hadoop – HDFS - Monitoring-Maintenance-Hadoop benchmarks- Hadoop in the cloud8 . FRAMEWORKS, Applications on Big Data Using Pig and Hive – Data processing operators in Pig – Hive services – HiveQL – Querying Data in Hive - fundamentals of HBase and ZooKeeper - IBM InfoSphere BigInsights and Streams. Visualizations - Visual data analysis techniques, interaction techniques, Systems and applications."
