College Name,Subject,Topics Covered,College,Subject Code,Subject Name,Cluster
Amity University,ARTIFICIAL INTELLIGENCE,"Problem Solving, Applications- Games, Theorem Proving, Natural Language Processing, Vision And Speech, Robotics, Expert Systems, Ai Techniques- Search, Abstraction, Problem Solving State, Production Systems, Search Space Control:",AMITY_FINAL_STRUCTURED,,,4
Amity University,COMMUNICATION SYSTEMS,"Communication Process, Source Of Information, Communication Channels, Base-Band And Pass-Band, Review Of Fourier, Random Variables, Different Types, Need Of Modulation, Primary Communication Resources, Analog Versus Digital, Amplitude Modulation Amplitude, Suppressed Carrier Systems",AMITY_FINAL_STRUCTURED,,,2
Amity University,COMMUNICATION SYSTEMS LAB,"To Open Source, To Php, Installation And Configuration, Advantages And Disadvantages, Client Side Scripting, Server Side Scripting, Variables, Data Types, Various Types, Creating Your Own, Strings In Php, String Functions",AMITY_FINAL_STRUCTURED,,,1
Amity University,ARTIFICIAL NEURAL NETWORKS,"Artificial Neural Networks, Supervised And Unsupervised, Neural Network Applications, Unsupervised Learning:- Hebbian, Supervised Learning:- Back, Learning Rule:- Delta, Widrow-Hoff Learning Rule, Winner-Take-All Learning Rule, Feed Forward Neural, Feed Backward Neural, Perceptron And Its, Single- Layer Perceptron",AMITY_FINAL_STRUCTURED,,,4
Amity University,SOFTWARE ENGINEERING,"Software Life Cycle, Prototype, Evolutionary And Spiral, Of Quality Standards, Sei-Cmm, Software Metrics, Token Count, Function Count, Design Metrics, Data Structure Metrics, Information Flow Metrics, Cost Estimation",AMITY_FINAL_STRUCTURED,,,2
Amity University,COMPUTER ARCHITECTURE,"Register Transfer Language, Bus And Memory, Arithmetic Micro-Operations, Logic Micro-Operations, Shift Micro-Operations, Arithmetic Logic Shift, Computer Organizations, Computer Registers, Computer Instructions, Timing And Control, Instruction Cycle, Memory-Reference Instructions",AMITY_FINAL_STRUCTURED,,,1
Amity University,JAVA PROGRAMMING,"Java Of Oop, Of Java, How Java Is, Environmental Setup, Syntax, Objects And Classes, Data Types, Variable Types, Modifier Types, Operators, Loop Control, Decision Making",AMITY_FINAL_STRUCTURED,,,1
Amity University,ANALYSIS AND DESIGN OF ALGORITHM,"Algorithm Design Paradigms, Of Algorithmic Efficiency, Run Time, Asymptotic Notations, Recurrences- Substitution Method, Recursion Tree Method, Master Method, Divide And Conquer, Binary Search, Quick Sort, Merge Sort, Strassen Multiplication",AMITY_FINAL_STRUCTURED,,,0
Amity University,VHDL PROGRAMMING,"Sequential Codes Process:, Wait, Case, Loop, Case Versus If, Case Versus When, Bad Clocking, Using Sequential Code, V Standard Combinational, Design Of A, State Graph, Multiplication Of A",AMITY_FINAL_STRUCTURED,,,2
Amity University,DISTRIBUTED OPERATING SYSTEM,"Functions Of An, Design Approaches, Review Of Network, Issue In, Of Computer Networks, Modes Of Communication, System Process, Interrupt Handling, Handling Systems Calls, Protection Of Resources, Micro-Kernel Operating System, Client Server Architecture",AMITY_FINAL_STRUCTURED,,,1
